0, 10.000000
1, -141.000000
2, -294.000000
3, -449.000000
4, -606.000000
5, -765.000000
6, -926.000000
7, -1089.000000
8, -1254.000000
9, -1421.000000
10, -1590.000000
11, -1761.000000
12, -1934.000000
13, -2109.000000
14, -2286.000000
15, -2465.000000
16, -2646.000000
17, -2829.000000
18, -3014.000000
19, -3201.000000
20, -3390.000000
21, -3581.000000
22, -3774.000000
23, -3969.000000
24, -4166.000000
25, -4365.000000
26, -4566.000000
27, -4769.000000
28, -4974.000000
29, -5181.000000
30, -5390.000000
31, -5601.000000
32, -5814.000000
33, -6029.000000
34, -6246.000000
35, -6465.000000
36, -6686.000000
37, -6909.000000
38, -7134.000000
39, -7361.000000
40, -7590.000000
41, -7821.000000
42, -8054.000000
43, -8289.000000
44, -8526.000000
45, -8765.000000
46, -9006.000000
47, -9249.000000
48, -9494.000000
49, -9741.000000
50, -9990.000000
51, -10241.000000
52, -10494.000000
53, -10749.000000
54, -11006.000000
55, -11265.000000
56, -11526.000000
57, -11789.000000
58, -12054.000000
59, -12321.000000
60, -12590.000000
61, -12861.000000
62, -13134.000000
63, -13409.000000
64, -13686.000000
65, -13965.000000
66, -14246.000000
67, -14529.000000
68, -14814.000000
69, -15101.000000
70, -15390.000000
71, -15681.000000
72, -15974.000000
73, -16269.000000
74, -16566.000000
75, -16865.000000
76, -17166.000000
77, -17469.000000
78, -17774.000000
79, -18081.000000
80, -18390.000000
81, -18701.000000
82, -19014.000000
83, -19329.000000
84, -19646.000000
85, -19965.000000
86, -20286.000000
87, -20609.000000
88, -20934.000000
89, -21261.000000
90, -21590.000000
91, -21921.000000
92, -22254.000000
93, -22589.000000
94, -22926.000000
95, -23265.000000
96, -23606.000000
97, -23949.000000
98, -24294.000000
99, -24641.000000
100, -24990.000000
